Interval=	0.001 s
ExcelDateTime=	4.3508692196499695e+004	2/12/2019 16:36:45.777573
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 3
Range=	10.000 V	200.0 µV
0	-0.005	-14.5
0.001	-0.005	-22.0
0.002	-0.005	-20.1
0.003	-0.005	-16.5
0.004	-0.005	-12.9
0.005	-0.005	-5.7
0.006	-0.005	5.2
0.007	-0.005	10.5
0.008	-0.005	18.2
0.009	-0.005	25.5
0.01	-0.005	27.1
0.011	-0.005	28.3
0.012	-0.005	29.0
0.013	-0.005	23.4
0.014	-0.005	18.1
0.015	-0.005	10.1
0.016	-0.005	-1.3
0.017	-0.005	-5.3
0.018	-0.005	-10.7
0.019	-0.005	-17.3
0.02	-0.005	-17.7
0.021	-0.005	-17.7
0.022	-0.005	-18.4
0.023	-0.005	-13.1
0.024	-0.005	-9.6
0.025	-0.005	-3.9
0.026	-0.005	7.2
0.027	-0.005	13.3
0.028	-0.005	19.5
0.029	-0.005	26.1
0.03	-0.005	27.7
0.031	-0.005	28.0
0.032	-0.005	27.3
0.033	-0.005	20.2
0.034	-0.005	14.9
0.035	-0.005	7.3
0.036	-0.005	-3.8
0.037	-0.005	-9.5
0.038	-0.005	-14.3
0.039	-0.005	-20.0
0.04	-0.005	-22.6
0.041	-0.005	-24.4
0.042	-0.005	-25.8
0.043	-0.005	-20.3
0.044	-0.005	-16.5
0.045	-0.005	-9.5
0.046	-0.005	2.2
0.047	-0.005	7.6
0.048	-0.005	12.8
0.049	-0.005	19.4
0.05	-0.005	22.1
0.051	-0.005	23.6
0.052	-0.005	25.0
0.053	-0.005	19.1
0.054	-0.005	13.7
0.055	-0.005	5.6
0.056	-0.005	-6.7
0.057	-0.005	-11.2
0.058	-0.005	-15.3
0.059	-0.005	-21.0
0.06	-0.005	-22.2
0.061	-0.005	-22.0
0.062	-0.005	-21.5
0.063	-0.005	-17.0
0.064	-0.005	-13.5
0.065	-0.005	-6.6
0.066	-0.005	3.4
0.067	-0.005	8.1
0.068	-0.005	13.3
0.069	-0.005	19.6
0.07	-0.005	22.2
0.071	-0.005	23.1
0.072	-0.005	24.6
0.073	-0.005	19.0
0.074	-0.005	13.4
0.075	-0.005	6.5
0.076	-0.005	-4.3
0.077	-0.005	-8.3
0.078	-0.005	-12.7
0.079	-0.005	-19.5
0.08	-0.005	-21.2
0.081	-0.005	-20.0
0.082	-0.005	-20.9
0.083	-0.005	-16.8
0.084	-0.005	-11.0
0.085	-0.005	-3.8
0.086	-0.005	5.0
0.087	-0.005	9.5
0.088	-0.005	15.1
0.089	-0.005	21.1
0.09	-0.005	23.3
0.091	-0.005	22.9
0.092	-0.005	23.9
0.093	-0.005	18.8
0.094	-0.005	12.9
0.095	-0.005	5.8
0.096	-0.005	-6.4
0.097	-0.005	-10.5
0.098	-0.005	-13.9
0.099	-0.005	-21.4
0.1	-0.005	-24.8
0.101	-0.005	-25.3
0.102	-0.005	-25.9
0.103	-0.005	-21.2
0.104	-0.005	-17.3
0.105	-0.005	-11.6
0.106	-0.005	-2.1
0.107	-0.005	1.9
0.108	-0.005	7.1
0.109	-0.005	13.3
0.11	-0.005	16.0
0.111	-0.005	16.2
0.112	-0.005	16.4
0.113	-0.005	12.4
0.114	-0.005	6.4
0.115	-0.005	-2.2
0.116	-0.005	-13.4
0.117	-0.005	-17.9
0.118	-0.005	-22.8
0.119	-0.005	-29.0
0.12	-0.005	-31.0
0.121	-0.005	-31.4
0.122	-0.005	-31.0
0.123	-0.005	-27.0
0.124	-0.005	-24.0
0.125	-0.005	-17.0
0.126	-0.005	-5.7
0.127	-0.005	-0.3
0.128	-0.005	4.9
0.129	-0.005	11.6
0.13	-0.005	14.9
0.131	-0.005	15.2
0.132	-0.005	16.0
0.133	-0.005	10.5
0.134	-0.005	5.3
0.135	-0.005	-0.9
0.136	-0.005	-13.6
0.137	-0.005	-19.4
0.138	-0.005	-22.3
0.139	-0.005	-27.5
0.14	-0.005	-29.7
0.141	-0.005	-29.7
0.142	-0.005	-30.6
0.143	-0.005	-25.2
0.144	-0.005	-19.9
0.145	-0.005	-15.0
0.146	-0.005	-6.4
0.147	-0.005	-1.3
0.148	-0.005	4.8
0.149	-0.005	12.1
0.15	-0.005	15.4
0.151	-0.005	15.5
0.152	-0.005	16.6
0.153	-0.005	12.3
0.154	-0.005	6.7
0.155	-0.005	1.5
0.156	-0.005	-9.1
0.157	-0.005	-14.9
0.158	-0.005	-17.0
0.159	-0.005	-22.6
0.16	-0.005	-24.6
0.161	-0.005	-24.0
0.162	-0.005	-26.3
0.163	-0.005	-22.9
0.164	-0.005	-18.7
0.165	-0.005	-13.0
0.166	-0.005	-3.2
0.167	-0.005	1.7
0.168	-0.005	7.1
0.169	-0.005	14.2
0.17	-0.005	16.6
0.171	-0.005	15.5
0.172	-0.005	16.8
0.173	-0.005	13.9
0.174	-0.005	8.6
0.175	-0.005	1.7
0.176	-0.005	-9.3
0.177	-0.005	-14.0
0.178	-0.005	-16.7
0.179	-0.005	-23.3
0.18	-0.005	-27.4
0.181	-0.005	-27.1
0.182	-0.005	-27.6
0.183	-0.005	-23.7
0.184	-0.005	-18.9
0.185	-0.005	-12.9
0.186	-0.005	-3.9
0.187	-0.005	2.1
0.188	-0.005	7.5
0.189	-0.005	12.4
0.19	-0.005	15.3
0.191	-0.005	15.2
0.192	-0.005	15.7
0.193	-0.005	12.0
0.194	-0.005	7.6
0.195	-0.005	2.2
0.196	-0.005	-7.8
0.197	-0.005	-12.6
0.198	-0.005	-15.2
0.199	-0.005	-19.5
0.2	-0.005	-21.4
0.201	-0.005	-20.4
0.202	-0.005	-21.4
0.203	-0.005	-17.3
0.204	-0.005	-12.2
0.205	-0.005	-6.9
0.206	-0.005	2.3
0.207	-0.005	6.6
0.208	-0.005	10.9
0.209	-0.005	18.7
0.21	-0.005	21.9
0.211	-0.005	21.7
0.212	-0.005	22.3
0.213	-0.005	18.8
0.214	-0.005	15.2
0.215	-0.005	9.9
0.216	-0.005	0.1
0.217	-0.005	-5.4
0.218	-0.005	-8.1
0.219	-0.005	-12.1
0.22	-0.005	-13.7
0.221	-0.005	-11.5
0.222	-0.005	-11.8
0.223	-0.005	-8.0
0.224	-0.005	-3.4
0.225	-0.005	1.8
0.226	-0.005	11.7
0.227	-0.005	14.8
0.228	-0.005	18.5
0.229	-0.005	24.5
0.23	-0.005	26.5
0.231	-0.005	27.3
0.232	-0.005	28.1
0.233	-0.005	24.3
0.234	-0.005	20.0
0.235	-0.005	14.8
0.236	-0.005	5.6
0.237	-0.005	-0.3
0.238	-0.005	-5.0
0.239	-0.005	-10.3
0.24	-0.005	-12.8
0.241	-0.005	-12.9
0.242	-0.005	-14.1
0.243	-0.005	-11.2
0.244	-0.005	-7.7
0.245	-0.005	-2.5
0.246	-0.005	7.6
0.247	-0.005	13.2
0.248	-0.005	18.1
0.249	-0.005	23.1
0.25	-0.005	25.5
0.251	-0.005	24.4
0.252	-0.005	23.9
0.253	-0.005	19.8
0.254	-0.005	14.5
0.255	-0.005	9.2
0.256	-0.005	-1.1
0.257	-0.005	-7.3
0.258	-0.005	-9.8
0.259	-0.005	-14.2
0.26	-0.005	-17.9
0.261	-0.005	-17.4
0.262	-0.005	-17.5
0.263	-0.005	-13.5
0.264	-0.005	-8.0
0.265	-0.005	-3.4
0.266	-0.005	6.2
0.267	-0.005	11.8
0.268	-0.005	15.1
0.269	-0.005	21.6
0.27	-0.005	24.6
0.271	-0.005	23.7
0.272	-0.005	25.0
0.273	-0.005	22.5
0.274	-0.005	16.4
0.275	-0.005	10.5
0.276	-0.005	1.2
0.277	-0.005	-3.4
0.278	-0.005	-5.8
0.279	-0.005	-11.3
0.28	-0.005	-13.2
0.281	-0.005	-12.0
0.282	-0.005	-12.2
0.283	-0.005	-8.9
0.284	-0.005	-4.4
0.285	-0.005	1.3
0.286	-0.005	10.9
0.287	-0.005	15.6
0.288	-0.005	20.1
0.289	-0.005	27.0
0.29	-0.005	29.5
0.291	-0.005	29.1
0.292	-0.005	30.9
0.293	-0.005	28.6
0.294	-0.005	23.5
0.295	-0.005	17.9
0.296	-0.005	8.8
0.297	-0.005	3.2
0.298	-0.005	0.5
0.299	-0.005	-4.5
0.3	-0.005	-7.1
0.301	-0.005	-6.6
0.302	-0.005	-9.0
0.303	-0.005	-5.0
0.304	-0.005	0.6
0.305	-0.005	5.8
0.306	-0.005	15.6
0.307	-0.005	19.8
0.308	-0.005	22.5
0.309	-0.005	27.7
0.31	-0.005	30.8
0.311	-0.005	30.2
0.312	-0.005	30.1
0.313	-0.005	26.7
0.314	-0.005	22.6
0.315	-0.005	17.6
0.316	-0.005	8.7
0.317	-0.005	5.0
0.318	-0.005	2.7
0.319	-0.005	-2.5
0.32	-0.005	-5.3
0.321	-0.005	-4.5
0.322	-0.005	-4.9
0.323	-0.005	-1.9
0.324	-0.005	2.8
0.325	-0.005	7.8
0.326	-0.005	16.4
0.327	-0.005	21.7
0.328	-0.005	25.3
0.329	-0.005	29.9
0.33	-0.005	31.8
0.331	-0.005	31.6
0.332	-0.005	31.7
0.333	-0.005	27.6
0.334	-0.005	23.6
0.335	-0.005	18.0
